delivery_id,order_id,personnel_id,pickup_time,estimated_delivery_time,actual_delivery_time,delivery_status,distance_km,delivery_rating,customer_feedback
1,1,47,2026-04-17 12:57:44,2026-04-17 13:35:44,2026-04-17 13:30:44,pending,19.03,4.32,Good experience
2,2,33,2026-04-04 13:24:44,2026-04-04 14:40:44,,in_transit,18.16,4.66,Good experience
3,3,39,2026-01-22 13:24:44,2026-01-22 13:58:44,,delivered,12.15,3.23,Great service!
4,4,49,2026-02-03 13:15:44,2026-02-03 14:10:44,2026-02-03 14:30:44,pending,8.95,4.95,Good experience
5,5,1,2026-03-26 12:48:44,2026-03-26 14:15:44,2026-03-26 14:42:44,assigned,10.67,4.03,
6,6,50,2026-04-04 13:02:44,2026-04-04 13:23:44,2026-04-04 13:46:44,picked_up,5.02,3.54,Good experience
7,7,30,2026-03-03 13:14:44,2026-03-03 14:38:44,2026-03-03 14:41:44,assigned,13.6,,Great service!
8,8,12,2026-04-18 12:50:44,2026-04-18 13:50:44,2026-04-18 14:00:44,picked_up,16.13,,Fast delivery
9,9,45,2026-02-25 12:54:44,2026-02-25 13:54:44,2026-02-25 14:23:44,picked_up,6.75,,
10,10,15,2026-02-18 13:04:44,2026-02-18 13:41:44,2026-02-18 13:52:44,in_transit,10.51,4.53,Fast delivery
11,11,33,2026-01-29 13:30:44,2026-01-29 14:13:44,2026-01-29 14:34:44,failed,13.94,4.62,Great service!
12,12,24,2026-04-13 13:15:44,2026-04-13 14:27:44,,picked_up,12.81,4.8,Fast delivery
13,13,11,2026-04-06 13:09:44,2026-04-06 13:54:44,2026-04-06 14:18:44,failed,24.68,4.54,
14,14,23,2026-01-29 13:25:44,2026-01-29 14:17:44,2026-01-29 14:04:44,picked_up,11.51,3.35,
15,15,13,2026-02-19 13:30:44,2026-02-19 14:58:44,2026-02-19 15:20:44,pending,10.4,3.1,Fast delivery
16,16,1,2026-03-11 13:20:44,2026-03-11 13:57:44,2026-03-11 14:25:44,picked_up,21.83,3.28,Great service!
17,17,8,2026-03-27 13:03:44,2026-03-27 13:39:44,,failed,7.25,3.56,Fast delivery
18,18,16,2026-02-03 12:55:44,2026-02-03 14:12:44,2026-02-03 14:13:44,failed,11.46,4.44,Good experience
19,19,2,2026-03-14 13:09:44,2026-03-14 13:33:44,,failed,8.96,3.46,Great service!
20,20,45,2026-04-12 12:47:44,2026-04-12 13:42:44,2026-04-12 13:46:44,picked_up,13.5,4.92,Fast delivery
21,21,42,2026-02-22 12:54:44,2026-02-22 13:18:44,,pending,4.61,,
22,22,24,2026-04-01 13:02:44,2026-04-01 13:33:44,2026-04-01 13:27:44,delivered,22.89,3.58,Fast delivery
23,23,11,2026-03-06 12:46:44,2026-03-06 13:23:44,2026-03-06 13:49:44,delivered,5.84,3.25,Good experience
24,24,22,2026-03-27 13:20:44,2026-03-27 14:44:44,2026-03-27 14:49:44,pending,13.27,4.39,Fast delivery
25,25,25,2026-02-17 12:48:44,2026-02-17 13:24:44,2026-02-17 13:54:44,assigned,10.6,,Fast delivery
26,26,1,2026-01-24 13:23:44,2026-01-24 14:45:44,2026-01-24 14:55:44,assigned,12.37,4.38,
27,27,4,2026-02-04 12:46:44,2026-02-04 13:20:44,2026-02-04 13:05:44,picked_up,24.53,3.29,Great service!
28,28,24,2026-01-24 12:48:44,2026-01-24 13:09:44,2026-01-24 13:07:44,pending,19.73,4.02,Good experience
29,29,32,2026-03-30 12:59:44,2026-03-30 13:54:44,2026-03-30 13:59:44,picked_up,14.98,4.32,Fast delivery
30,30,45,2026-04-02 13:25:44,2026-04-02 14:04:44,2026-04-02 14:13:44,failed,15.34,,Fast delivery
31,31,45,2026-02-26 13:27:44,2026-02-26 13:57:44,2026-02-26 14:08:44,in_transit,10.79,3.43,Fast delivery
32,32,46,2026-02-10 13:13:44,2026-02-10 14:01:44,2026-02-10 14:28:44,delivered,14.49,3.88,Fast delivery
33,33,10,2026-04-14 13:10:44,2026-04-14 14:39:44,2026-04-14 15:08:44,delivered,16.68,3.64,Fast delivery
34,34,15,2026-03-26 13:13:44,2026-03-26 13:56:44,2026-03-26 14:08:44,picked_up,8.82,3.59,
35,35,18,2026-03-09 13:05:44,2026-03-09 13:28:44,2026-03-09 13:35:44,in_transit,24.7,,
36,36,8,2026-03-14 12:53:44,2026-03-14 13:46:44,2026-03-14 13:42:44,picked_up,12.75,4.6,
37,37,4,2026-04-01 12:58:44,2026-04-01 13:38:44,2026-04-01 13:51:44,picked_up,8.87,,Fast delivery
38,38,17,2026-04-09 13:04:44,2026-04-09 13:35:44,2026-04-09 13:31:44,pending,24.04,4.06,
39,39,1,2026-02-21 12:47:44,2026-02-21 14:07:44,2026-02-21 14:31:44,failed,5.45,4.7,Fast delivery
40,40,42,2026-03-25 12:52:44,2026-03-25 13:43:44,2026-03-25 13:52:44,assigned,9.06,3.72,Good experience
41,41,21,2026-02-20 13:06:44,2026-02-20 13:44:44,2026-02-20 14:07:44,pending,6.78,4.86,
42,42,48,2026-01-23 12:53:44,2026-01-23 13:42:44,2026-01-23 13:37:44,delivered,11.15,4.54,Fast delivery
43,43,48,2026-02-21 13:06:44,2026-02-21 13:46:44,,in_transit,22.09,3.03,
44,44,21,2026-01-21 13:18:44,2026-01-21 13:52:44,2026-01-21 13:40:44,assigned,15.91,3.11,Great service!
45,45,32,2026-02-23 13:31:44,2026-02-23 14:06:44,2026-02-23 14:15:44,pending,5.8,,Good experience
46,46,33,2026-02-05 12:57:44,2026-02-05 13:24:44,2026-02-05 13:38:44,picked_up,2.02,,Fast delivery
47,47,44,2026-03-04 13:28:44,2026-03-04 14:05:44,,pending,20.61,4.86,Good experience
48,48,28,2026-03-21 12:59:44,2026-03-21 13:26:44,2026-03-21 13:51:44,delivered,8.27,3.3,Good experience
49,49,13,2026-04-16 12:51:44,2026-04-16 13:42:44,2026-04-16 13:50:44,picked_up,24.61,,
50,50,30,2026-02-10 13:18:44,2026-02-10 14:39:44,2026-02-10 14:33:44,delivered,6.46,3.93,Fast delivery
51,51,13,2026-03-06 12:50:44,2026-03-06 13:34:44,2026-03-06 13:46:44,pending,10.35,4.3,Great service!
52,52,39,2026-02-11 13:26:44,2026-02-11 14:32:44,2026-02-11 14:36:44,failed,23.39,4.9,Good experience
53,53,26,2026-03-12 13:07:44,2026-03-12 14:10:44,2026-03-12 14:26:44,pending,19.23,3.75,
54,54,42,2026-02-04 13:13:44,2026-02-04 14:07:44,2026-02-04 13:53:44,assigned,12.37,4.92,
55,55,45,2026-03-13 13:03:44,2026-03-13 14:10:44,2026-03-13 14:40:44,picked_up,4.23,,Good experience
56,56,46,2026-02-18 13:13:44,2026-02-18 13:35:44,2026-02-18 14:02:44,in_transit,22.33,4.71,Great service!
57,57,6,2026-03-06 12:55:44,2026-03-06 13:55:44,2026-03-06 13:54:44,pending,23.92,4.81,
58,58,33,2026-04-08 12:52:44,2026-04-08 14:10:44,2026-04-08 14:37:44,in_transit,18.7,3.91,
59,59,4,2026-03-23 13:10:44,2026-03-23 14:13:44,2026-03-23 13:58:44,assigned,3.81,,
60,60,48,2026-03-07 13:09:44,2026-03-07 14:05:44,2026-03-07 14:22:44,in_transit,11.69,4.24,Fast delivery
61,61,10,2026-03-22 12:53:44,2026-03-22 14:23:44,2026-03-22 14:21:44,delivered,9.55,,
62,62,23,2026-01-26 13:07:44,2026-01-26 14:10:44,2026-01-26 14:31:44,assigned,22.77,4.73,
63,63,46,2026-02-05 12:52:44,2026-02-05 13:55:44,2026-02-05 14:18:44,failed,3.83,,
64,64,42,2026-04-08 13:20:44,2026-04-08 14:22:44,2026-04-08 14:09:44,delivered,13.1,,Good experience
65,65,38,2026-03-22 12:52:44,2026-03-22 13:18:44,2026-03-22 13:38:44,failed,13.61,,Good experience
66,66,3,2026-02-03 13:24:44,2026-02-03 14:26:44,2026-02-03 14:14:44,assigned,14.13,4.22,
67,67,15,2026-04-07 13:00:44,2026-04-07 13:36:44,2026-04-07 13:23:44,delivered,11.09,,Fast delivery
68,68,11,2026-03-22 13:03:44,2026-03-22 14:14:44,2026-03-22 14:03:44,pending,12.36,4.0,Fast delivery
69,69,19,2026-02-17 13:24:44,2026-02-17 14:15:44,2026-02-17 14:44:44,in_transit,15.93,4.28,
70,70,6,2026-02-16 12:49:44,2026-02-16 13:29:44,2026-02-16 13:27:44,assigned,12.18,4.27,Good experience
71,71,26,2026-04-16 12:49:44,2026-04-16 13:43:44,,in_transit,24.65,4.76,Great service!
72,72,22,2026-02-17 13:23:44,2026-02-17 14:04:44,2026-02-17 14:02:44,failed,17.19,,Fast delivery
73,73,37,2026-03-05 12:59:44,2026-03-05 13:25:44,2026-03-05 13:29:44,in_transit,14.18,,Great service!
74,74,18,2026-04-10 12:48:44,2026-04-10 13:21:44,2026-04-10 13:25:44,pending,4.4,,Fast delivery
75,75,7,2026-02-14 13:17:44,2026-02-14 13:40:44,2026-02-14 13:47:44,pending,3.32,4.89,
76,76,11,2026-01-25 13:08:44,2026-01-25 14:05:44,2026-01-25 14:33:44,in_transit,10.52,,Fast delivery
77,77,17,2026-04-09 13:08:44,2026-04-09 14:15:44,2026-04-09 14:34:44,assigned,16.62,,Great service!
78,78,6,2026-02-09 12:57:44,2026-02-09 13:56:44,2026-02-09 14:17:44,delivered,9.69,3.23,Good experience
79,79,42,2026-02-01 13:04:44,2026-02-01 14:15:44,2026-02-01 14:20:44,picked_up,7.85,3.45,Good experience
80,80,1,2026-01-23 13:21:44,2026-01-23 14:11:44,,in_transit,4.73,,Fast delivery
81,81,12,2026-04-15 13:24:44,2026-04-15 14:02:44,2026-04-15 14:06:44,delivered,21.57,,Great service!
82,82,27,2026-02-16 12:47:44,2026-02-16 14:04:44,2026-02-16 13:56:44,assigned,24.07,,
83,83,18,2026-02-25 13:17:44,2026-02-25 13:51:44,2026-02-25 13:41:44,in_transit,24.48,,
84,84,4,2026-04-06 12:51:44,2026-04-06 13:51:44,2026-04-06 14:07:44,in_transit,18.95,3.55,
85,85,26,2026-01-25 12:55:44,2026-01-25 14:11:44,2026-01-25 14:41:44,delivered,17.12,4.34,
86,86,18,2026-03-01 13:03:44,2026-03-01 13:58:44,2026-03-01 13:43:44,assigned,18.57,,Great service!
87,87,39,2026-02-17 12:56:44,2026-02-17 13:19:44,2026-02-17 13:06:44,pending,2.89,4.81,
88,88,45,2026-02-23 13:24:44,2026-02-23 14:43:44,2026-02-23 15:06:44,in_transit,8.81,4.44,
89,89,23,2026-02-03 12:53:44,2026-02-03 13:38:44,2026-02-03 13:33:44,assigned,3.95,,Fast delivery
90,90,20,2026-04-18 13:03:44,2026-04-18 13:33:44,,picked_up,10.48,4.34,
91,91,10,2026-02-12 13:24:44,2026-02-12 14:43:44,2026-02-12 14:57:44,in_transit,4.85,4.52,Good experience
92,92,27,2026-01-24 13:00:44,2026-01-24 13:55:44,,picked_up,11.11,4.25,Good experience
93,93,43,2026-04-19 12:57:44,2026-04-19 13:24:44,2026-04-19 13:39:44,picked_up,18.74,4.95,Fast delivery
94,94,18,2026-01-25 13:07:44,2026-01-25 14:27:44,2026-01-25 14:13:44,in_transit,8.33,4.77,Fast delivery
