order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,122,1,291.31,291.31
2,1,90,4,129.89,519.56
3,2,27,4,53.39,213.56
4,2,183,1,247.13,247.13
5,2,84,5,362.22,1811.1
6,2,167,1,310.98,310.98
7,2,78,5,61.11,305.55
8,2,119,4,77.55,310.2
9,2,152,4,488.58,1954.32
10,2,62,5,433.17,2165.85
11,2,63,5,346.54,1732.7
12,3,111,4,337.7,1350.8
13,3,146,3,285.21,855.63
14,3,140,2,324.46,648.92
15,3,45,1,458.31,458.31
16,3,190,5,218.93,1094.65
17,3,125,1,342.41,342.41
18,3,152,5,488.58,2442.9
19,3,119,3,77.55,232.65
20,3,143,1,358.72,358.72
21,3,114,2,379.03,758.06
22,4,84,4,362.22,1448.88
23,4,166,1,369.7,369.7
24,4,24,2,418.11,836.22
25,4,36,5,54.27,271.35
26,4,194,1,393.64,393.64
27,4,194,2,393.64,787.28
28,4,170,2,20.81,41.62
29,5,175,3,213.15,639.45
30,5,77,5,47.8,239.0
31,5,174,3,168.46,505.38
32,5,112,3,111.15,333.45
33,6,16,3,153.38,460.14
34,6,141,1,21.7,21.7
35,6,1,5,326.92,1634.6
36,6,92,1,341.11,341.11
37,6,73,1,386.01,386.01
38,7,98,4,49.09,196.36
39,7,140,2,324.46,648.92
40,7,170,2,20.81,41.62
41,7,122,2,291.31,582.62
42,7,49,5,240.25,1201.25
43,7,99,3,404.28,1212.84
44,7,107,2,435.03,870.06
45,8,185,4,338.65,1354.6
46,8,169,4,142.27,569.08
47,8,35,1,469.59,469.59
48,9,47,4,122.06,488.24
49,9,131,4,95.72,382.88
50,9,142,4,97.56,390.24
51,9,99,3,404.28,1212.84
52,9,58,2,400.2,800.4
53,9,109,5,464.73,2323.65
54,9,2,5,375.94,1879.7
55,9,128,2,55.17,110.34
56,9,183,5,247.13,1235.65
57,9,69,4,440.41,1761.64
58,10,29,5,492.91,2464.55
59,10,124,1,134.57,134.57
60,10,37,5,102.15,510.75
61,10,193,3,334.91,1004.73
62,10,120,5,297.88,1489.4
63,10,21,5,370.27,1851.35
64,11,149,3,340.13,1020.39
65,11,157,1,126.77,126.77
66,11,88,5,130.46,652.3
67,11,200,1,476.02,476.02
68,11,121,4,59.35,237.4
69,11,132,4,313.61,1254.44
70,11,147,3,40.08,120.24
71,11,108,3,201.91,605.73
72,11,76,3,441.79,1325.37
73,12,149,2,340.13,680.26
74,12,147,1,40.08,40.08
75,12,169,3,142.27,426.81
76,12,189,5,313.41,1567.05
77,12,7,3,34.3,102.9
78,12,125,1,342.41,342.41
79,12,33,5,197.69,988.45
80,12,20,3,309.79,929.37
81,13,45,5,458.31,2291.55
82,13,190,2,218.93,437.86
83,13,169,4,142.27,569.08
84,13,95,2,111.4,222.8
85,13,67,2,228.69,457.38
86,13,125,2,342.41,684.82
87,13,136,1,94.61,94.61
88,13,88,1,130.46,130.46
89,13,38,5,137.51,687.55
90,13,40,4,350.32,1401.28
91,14,54,5,193.76,968.8
92,14,188,3,31.72,95.16
93,14,14,3,384.23,1152.69
94,15,122,5,291.31,1456.55
95,15,60,4,203.18,812.72
96,15,175,4,213.15,852.6
97,15,122,3,291.31,873.93
98,15,38,5,137.51,687.55
99,16,175,1,213.15,213.15
100,16,25,5,445.02,2225.1
101,16,164,3,105.71,317.13
102,16,111,5,337.7,1688.5
103,16,167,3,310.98,932.94
104,16,86,3,78.08,234.24
105,16,69,1,440.41,440.41
106,16,66,5,183.28,916.4
107,16,101,4,87.29,349.16
108,17,87,2,182.28,364.56
109,17,81,5,99.26,496.3
110,17,3,1,127.14,127.14
111,17,18,1,69.06,69.06
112,17,106,1,215.08,215.08
113,17,135,1,146.94,146.94
114,17,176,4,81.1,324.4
115,17,90,2,129.89,259.78
116,17,186,3,64.83,194.49
117,18,154,1,395.55,395.55
118,18,182,1,232.24,232.24
119,18,23,5,57.82,289.1
120,18,34,4,341.68,1366.72
121,19,170,1,20.81,20.81
122,19,164,4,105.71,422.84
123,19,71,4,437.85,1751.4
124,19,178,3,293.17,879.51
125,19,66,2,183.28,366.56
